Date Time,Holiday,Weather Description,Weather Main,Clouds All,Rain 1H,Snow 1H,Temp,Traffic Volume
10/2/2012 9:00:00 AM,None,scattered clouds,Clouds,40,0,0,288.28,5545
10/2/2012 10:00:00 AM,None,broken clouds,Clouds,75,0,0,289.36,4516
10/2/2012 11:00:00 AM,None,overcast clouds,Clouds,90,0,0,289.58,4767
10/2/2012 12:00:00 PM,None,overcast clouds,Clouds,90,0,0,290.13,5026
10/2/2012 1:00:00 PM,None,broken clouds,Clouds,75,0,0,291.14,4918
10/2/2012 2:00:00 PM,None,sky is clear,Clear,1,0,0,291.72,5181
10/2/2012 3:00:00 PM,None,sky is clear,Clear,1,0,0,293.17,5584
10/2/2012 4:00:00 PM,None,sky is clear,Clear,1,0,0,293.86,6015
10/2/2012 5:00:00 PM,None,few clouds,Clouds,20,0,0,294.14,5791
10/2/2012 6:00:00 PM,None,few clouds,Clouds,20,0,0,293.1,4770
10/2/2012 7:00:00 PM,None,few clouds,Clouds,20,0,0,290.97,3539
10/2/2012 8:00:00 PM,None,sky is clear,Clear,1,0,0,289.38,2784
10/2/2012 9:00:00 PM,None,sky is clear,Clear,1,0,0,288.61,2361
10/2/2012 10:00:00 PM,None,sky is clear,Clear,1,0,0,287.16,1529
10/2/2012 11:00:00 PM,None,sky is clear,Clear,1,0,0,285.45,963
10/3/2012 12:00:00 AM,None,sky is clear,Clear,1,0,0,284.63,506
10/3/2012 1:00:00 AM,None,sky is clear,Clear,1,0,0,283.47,321
10/3/2012 2:00:00 AM,None,sky is clear,Clear,1,0,0,281.18,273
10/3/2012 3:00:00 AM,None,sky is clear,Clear,1,0,0,281.09,367
10/3/2012 4:00:00 AM,None,sky is clear,Clear,1,0,0,279.53,814
10/3/2012 5:00:00 AM,None,sky is clear,Clear,1,0,0,278.62,2718
10/3/2012 6:00:00 AM,None,sky is clear,Clear,1,0,0,278.23,5673
10/3/2012 8:00:00 AM,None,sky is clear,Clear,1,0,0,278.12,6511
10/3/2012 9:00:00 AM,None,sky is clear,Clear,1,0,0,282.48,5471
10/3/2012 12:00:00 PM,None,sky is clear,Clear,1,0,0,291.97,5097
10/3/2012 1:00:00 PM,None,sky is clear,Clear,1,0,0,293.23,4887
